Trial-ID,Status,Iteration,P,alg,batch_norm,batch_size,data,data_dir,dropout,env,epochs,gpus,l,layer_0,layer_1,layer_10,layer_11,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,leaky_relu,loss_type,lr,max_concurrent,max_dense_layers,net_type,new_trial,num_layers,patience,q,sch,Objective,loss,val_loss
17,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.0,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',244,246,272,221,285,263,278,267,256,208,200,255,0.08616146520675678,mse,0.0062127994764275,28,7,normal,1,8,10,arcus.q,local,2.1059346615883436,6810.186330972862,2.1059346615883436
17,COMPLETED,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.0,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',244,246,272,221,285,263,278,267,256,208,200,255,0.08616146520675678,mse,0.0062127994764275,28,7,normal,1,8,10,arcus.q,local,2.1059346615883436,6810.186330972862,2.1059346615883436
18,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',205,218,226,284,297,217,226,206,245,280,281,271,0.3274722153936736,mse,0.0028055756422105684,28,7,normal,1,8,10,arcus.q,local,0.0036931557640806087,0.003759748541750389,0.0036931557640806087
20,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.05,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',294,281,216,229,256,214,260,284,214,291,238,211,0.21278747645791768,mse,0.0018647168806168678,28,7,normal,1,8,10,arcus.q,local,0.002306464760435019,0.002493036602220736,0.002306464760435019
15,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',263,262,256,295,205,273,297,208,235,233,287,228,0.31986886574291634,mse,0.006864416533626946,28,7,normal,1,8,10,arcus.q,local,96.89254119941297,53091.944118644074,96.89254119941297
18,COMPLETED,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',205,218,226,284,297,217,226,206,245,280,281,271,0.3274722153936736,mse,0.0028055756422105684,28,7,normal,1,8,10,arcus.q,local,0.0036931557640806087,0.003759748541750389,0.0036931557640806087
15,COMPLETED,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',263,262,256,295,205,273,297,208,235,233,287,228,0.31986886574291634,mse,0.006864416533626946,28,7,normal,1,8,10,arcus.q,local,96.89254119941297,53091.944118644074,96.89254119941297
28,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.15,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',241,242,269,225,298,245,235,274,211,261,219,236,0.3022467829521249,mse,0.0009210336640397748,28,7,normal,1,8,10,arcus.q,local,0.0023471525381476756,0.0025260961314351204,0.0023471525381476756
25,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.15,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',248,259,237,215,280,210,252,214,295,220,222,293,0.3711869330930104,mse,0.003679482232341143,28,7,normal,1,9,10,arcus.q,local,0.004472035523288616,0.05089214818924794,0.004472035523288616
25,COMPLETED,0,arcus_gpu.p,random,0,2048,8col,/baldig/chemistry/earth_system_science/,0.15,/home/jott1/Projects/SHERPA_EX/.profile,30,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',248,259,237,215,280,210,252,214,295,220,222,293,0.3711869330930104,mse,0.003679482232341143,28,7,normal,1,9,10,arcus.q,local,0.004472035523288616,0.05089214818924794,0.004472035523288616
