Trial-ID,Status,Iteration,P,alg,alpha,batch_norm,batch_size,data,data_dir,dropout,env,epochs,gpus,l,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,leaky_relu,loss_type,lr,max_concurrent,max_dense_layers,net_type,num_layers,patience,q,sch,Objective,loss,val_loss
5,INTERMEDIATE,0,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,409,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,5,10,arcus.q,local,669.0724969883806,950.8107468866141,669.0724969883806
1,INTERMEDIATE,0,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,5,10,arcus.q,local,315.60130394878814,999.0108180791025,315.60130394878814
4,INTERMEDIATE,0,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,409,512,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,5,10,arcus.q,local,306.4407111593484,974.9438002174064,306.4407111593484
6,INTERMEDIATE,0,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,6,10,arcus.q,local,439.87484807001925,1124.156948535459,439.87484807001925
3,INTERMEDIATE,0,arcus_gpu.p,local,0.1,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,5,10,arcus.q,local,504.91764186097964,1171.9846364063342,504.91764186097964
2,INTERMEDIATE,0,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.0008,6,8,normal,5,10,arcus.q,local,594.7539234773558,923.7316745811898,594.7539234773558
1,INTERMEDIATE,1,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,5,10,arcus.q,local,214.8922888998458,451.4412621631239,214.8922888998458
4,INTERMEDIATE,1,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,409,512,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,5,10,arcus.q,local,273.0337945618375,447.41185558939384,273.0337945618375
5,INTERMEDIATE,1,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,409,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,5,10,arcus.q,local,339.8183715422764,447.8711468292039,339.8183715422764
6,INTERMEDIATE,1,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,6,8,normal,6,10,arcus.q,local,634.8353834808656,489.89251590881435,634.8353834808656
