Trial-ID,Status,Iteration,P,alg,alpha,batch_norm,batch_size,data,data_dir,dropout,env,epochs,gpus,l,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,leaky_relu,loss_type,lr,max_concurrent,max_dense_layers,net_type,num_layers,patience,q,sch,Objective,loss,val_loss
4,INTERMEDIATE,0,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,409,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,470.82787892842424,1027.2843831236382,470.82787892842424
1,INTERMEDIATE,0,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,600.5190468667923,987.8913703831424,600.5190468667923
2,INTERMEDIATE,0,arcus_gpu.p,local,0.12,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,556.8244406821095,1027.895343440868,556.8244406821095
3,INTERMEDIATE,0,arcus_gpu.p,local,0.1,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,578.5006673555455,1172.0617881547732,578.5006673555455
1,INTERMEDIATE,1,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,224.71800980601122,450.744550374526,224.71800980601122
4,INTERMEDIATE,1,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,409,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,335.5670211230335,448.3780966857931,335.5670211230335
2,INTERMEDIATE,1,arcus_gpu.p,local,0.12,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,541.1693410211446,478.2780538661851,541.1693410211446
3,INTERMEDIATE,1,arcus_gpu.p,local,0.1,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,424.3016906075946,915.34235831701,424.3016906075946
3,INTERMEDIATE,2,arcus_gpu.p,local,0.1,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,432.3859437350976,872.2239590716381,432.3859437350976
4,INTERMEDIATE,2,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,409,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,564.31227807711,369.1750711009932,564.31227807711
1,INTERMEDIATE,2,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,418.9777745920286,372.30060963822444,418.9777745920286
2,INTERMEDIATE,2,arcus_gpu.p,local,0.12,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,243.60423114976493,386.82583372296057,243.60423114976493
1,INTERMEDIATE,3,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,448.0290361269444,333.751221309774,448.0290361269444
2,INTERMEDIATE,3,arcus_gpu.p,local,0.12,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,388.4819733864193,348.0582329240402,388.4819733864193
4,INTERMEDIATE,3,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,409,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,317.3531597733774,333.7673851182455,317.3531597733774
3,INTERMEDIATE,3,arcus_gpu.p,local,0.1,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,368.15467184380975,847.9527392973756,368.15467184380975
4,INTERMEDIATE,4,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,409,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,575.5289423368001,312.4233322447801,575.5289423368001
3,INTERMEDIATE,4,arcus_gpu.p,local,0.1,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,413.1432202232963,833.4453511131151,413.1432202232963
1,INTERMEDIATE,4,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,575.4399247405516,311.73615512586065,575.4399247405516
2,INTERMEDIATE,4,arcus_gpu.p,local,0.12,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,573.2217452116743,322.31166351496114,573.2217452116743
4,INTERMEDIATE,5,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,409,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,385.7188346498435,296.8699845819628,385.7188346498435
2,INTERMEDIATE,5,arcus_gpu.p,local,0.12,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,405.40592741357756,305.10736420019964,405.40592741357756
1,INTERMEDIATE,5,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,364.6405446468539,298.42925127513263,364.6405446468539
3,INTERMEDIATE,5,arcus_gpu.p,local,0.1,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,366.6625214873223,822.5718736692813,366.6625214873223
4,INTERMEDIATE,6,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,409,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,428.9084567811631,286.4555246730415,428.9084567811631
1,INTERMEDIATE,6,arcus_gpu.p,local,0.1,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.25,/home/jott1/Projects/SHERPA_EX/.profile,25,1,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,512,512,0.3,weak_loss,0.001,4,8,normal,5,10,arcus.q,local,345.51206083253476,287.47361007109225,345.51206083253476
