Trial-ID,Status,Iteration,P,alg,alpha,batch_norm,batch_size,data,data_dir,dropout,env,epochs,gpus,l,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,leaky_relu,loss_type,lr,max_concurrent,max_dense_layers,net_type,num_layers,patience,q,sch,Objective,loss,val_loss
3,INTERMEDIATE,0,arcus_gpu.p,random,0.0033341253675964987,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,211.78490003125205,292.80495975414914,211.78490003125205
10,INTERMEDIATE,0,arcus_gpu.p,random,0.016354538692790136,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,200.3868801064576,293.1221022262927,200.3868801064576
7,INTERMEDIATE,0,arcus_gpu.p,random,0.01546419067090659,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,205.39844619278196,293.2792556761128,205.39844619278196
14,INTERMEDIATE,0,arcus_gpu.p,random,0.008457129283435661,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,228.27913752481723,288.11077763954984,228.27913752481723
4,INTERMEDIATE,0,arcus_gpu.p,random,0.004346038736481417,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,264.87339549477673,289.6592096601543,264.87339549477673
5,INTERMEDIATE,0,arcus_gpu.p,random,0.0182361018954918,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,279.1949776955934,291.13503968286955,279.1949776955934
12,INTERMEDIATE,0,arcus_gpu.p,random,0.004289377823444749,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,201.30783813587936,291.195676871445,201.30783813587936
2,INTERMEDIATE,0,arcus_gpu.p,random,0.008024030217373034,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,253.4630808162763,290.0773742456632,253.4630808162763
6,INTERMEDIATE,0,arcus_gpu.p,random,0.0026096316140309184,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,210.97401651373596,293.7269727946342,210.97401651373596
8,INTERMEDIATE,0,arcus_gpu.p,random,0.011159060817791418,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,225.9940594575798,294.8896070586003,225.9940594575798
1,INTERMEDIATE,0,arcus_gpu.p,random,0.010096945153686655,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,209.12229654038495,289.2990064006947,209.12229654038495
13,INTERMEDIATE,0,arcus_gpu.p,random,0.007298530823114005,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,225.32102800872283,290.1822478280267,225.32102800872283
11,INTERMEDIATE,0,arcus_gpu.p,random,0.007907564439064128,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,206.23833338816038,289.4335823531586,206.23833338816038
9,INTERMEDIATE,0,arcus_gpu.p,random,0.01447604946366053,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,216.2371352067403,289.71009353755153,216.2371352067403
15,INTERMEDIATE,0,arcus_gpu.p,random,0.009994072809350343,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,198.27523276198306,290.17838914543734,198.27523276198306
15,INTERMEDIATE,1,arcus_gpu.p,random,0.009994072809350343,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,201.35180330341026,204.4954221559327,201.35180330341026
3,INTERMEDIATE,1,arcus_gpu.p,random,0.0033341253675964987,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,218.1776613445127,206.69216865033763,218.1776613445127
14,INTERMEDIATE,1,arcus_gpu.p,random,0.008457129283435661,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,189.62844134022447,203.94597962736069,189.62844134022447
8,INTERMEDIATE,1,arcus_gpu.p,random,0.011159060817791418,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,208.66111180861606,207.6458641595833,208.66111180861606
11,INTERMEDIATE,1,arcus_gpu.p,random,0.007907564439064128,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,15,7,conservation,5,10,arcus.q,local,200.7938447810381,203.99614187127753,200.7938447810381
