Trial-ID,Status,Iteration,P,alg,alpha,batch_norm,batch_size,data,data_dir,dropout,env,epochs,gpus,l,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,leaky_relu,loss_type,lr,max_concurrent,max_dense_layers,net_type,num_layers,patience,q,sch,Objective,loss,val_loss
2,INTERMEDIATE,0,arcus_gpu.p,random,0.018414440472935875,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,235.20121780441238,312.1734936134076,235.20121780441238
6,INTERMEDIATE,0,arcus_gpu.p,random,0.01487413518216255,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,211.54428712563836,306.2062432518415,211.54428712563836
4,INTERMEDIATE,0,arcus_gpu.p,random,0.012839617104798954,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,247.25615385605767,300.73219543792254,247.25615385605767
7,INTERMEDIATE,0,arcus_gpu.p,random,0.006232544332095531,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,201.30927047670488,280.5190793684261,201.30927047670488
1,INTERMEDIATE,0,arcus_gpu.p,random,0.011947077513698208,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,201.93586099221554,297.6023862159999,201.93586099221554
5,INTERMEDIATE,0,arcus_gpu.p,random,0.005476766134055626,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,203.24145222807337,279.4900006434296,203.24145222807337
8,INTERMEDIATE,0,arcus_gpu.p,random,0.006360861664281177,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,195.7604484884479,281.7060608530542,195.7604484884479
3,INTERMEDIATE,0,arcus_gpu.p,random,0.010142632557424303,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,238.2841991945836,290.2770215236947,238.2841991945836
2,INTERMEDIATE,1,arcus_gpu.p,random,0.018414440472935875,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,188.5225449314619,203.9981752574121,188.5225449314619
4,INTERMEDIATE,1,arcus_gpu.p,random,0.012839617104798954,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0,/home/jott1/Projects/SHERPA_EX/.profile,25,"2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',512,512,512,512,512,512,512,0.3,weak_loss,0.001,8,7,normal,5,10,arcus.q,local,209.8146417382514,201.34043002045624,209.8146417382514
