,Iteration,Objective,P,Status,Trial-ID,alpha,batch_norm,batch_size,conservation,data,data_dir,dropout,env,epochs,l,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,leaky_relu,loss,loss_type,lr,max_concurrent,max_dense_layers,net_type,num_layers,patience,q,run_type,val_loss
0,0,-857990684878846.4,arcus_gpu.p,INTERMEDIATE,3,0.28297070824250903,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4551011571800022,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',198,35,46,430,216,324,511,498,0.4478936159014093,-100349878735381.98,weak_loss,0.004092646052960507,3,8,conservation,7,10,arcus.q,,-857990684878846.4
1,0,220.0921884892251,arcus_gpu.p,INTERMEDIATE,1,0.11738050217053353,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.423728960460812,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',382,43,213,391,218,161,130,47,0.3790373974001469,253.76082831137143,weak_loss,0.009854853903408602,3,8,conservation,2,10,arcus.q,,220.0921884892251
2,0,-436334251570232.25,arcus_gpu.p,INTERMEDIATE,2,0.9494187249700441,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4647657896942114,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',302,411,32,392,309,160,108,182,0.05710054212282989,-145577586382939.2,weak_loss,0.004559866883250675,3,8,conservation,7,10,arcus.q,,-436334251570232.25
3,1,-1.214701395124689e+16,arcus_gpu.p,INTERMEDIATE,3,0.28297070824250903,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4551011571800022,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',198,35,46,430,216,324,511,498,0.4478936159014093,-3040076517008709.0,weak_loss,0.004092646052960507,3,8,conservation,7,10,arcus.q,,-1.214701395124689e+16
4,2,-4.848523583090618e+16,arcus_gpu.p,INTERMEDIATE,3,0.28297070824250903,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4551011571800022,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',198,35,46,430,216,324,511,498,0.4478936159014093,-2.0516124815090988e+16,weak_loss,0.004092646052960507,3,8,conservation,7,10,arcus.q,,-4.848523583090618e+16
5,3,-1.3389229148100947e+17,arcus_gpu.p,INTERMEDIATE,3,0.28297070824250903,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4551011571800022,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',198,35,46,430,216,324,511,498,0.4478936159014093,-7.561914012005832e+16,weak_loss,0.004092646052960507,3,8,conservation,7,10,arcus.q,,-1.3389229148100947e+17
6,4,-2.2479902108858544e+17,arcus_gpu.p,INTERMEDIATE,3,0.28297070824250903,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4551011571800022,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',198,35,46,430,216,324,511,498,0.4478936159014093,-2.0291631247255453e+17,weak_loss,0.004092646052960507,3,8,conservation,7,10,arcus.q,,-2.2479902108858544e+17
7,1,184.09017422304356,arcus_gpu.p,INTERMEDIATE,1,0.11738050217053353,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.423728960460812,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',382,43,213,391,218,161,130,47,0.3790373974001469,232.819220936031,weak_loss,0.009854853903408602,3,8,conservation,2,10,arcus.q,,184.09017422304356
8,5,-4.653756805878504e+17,arcus_gpu.p,INTERMEDIATE,3,0.28297070824250903,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4551011571800022,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',198,35,46,430,216,324,511,498,0.4478936159014093,-4.484512505778012e+17,weak_loss,0.004092646052960507,3,8,conservation,7,10,arcus.q,,-4.653756805878504e+17
9,6,-1.541294423991855e+18,arcus_gpu.p,INTERMEDIATE,3,0.28297070824250903,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4551011571800022,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',198,35,46,430,216,324,511,498,0.4478936159014093,-8.699051544143342e+17,weak_loss,0.004092646052960507,3,8,conservation,7,10,arcus.q,,-1.541294423991855e+18
10,7,-3.403774811472811e+18,arcus_gpu.p,INTERMEDIATE,3,0.28297070824250903,1,2048,,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.4551011571800022,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',198,35,46,430,216,324,511,498,0.4478936159014093,-1.5365771728240512e+18,weak_loss,0.004092646052960507,3,8,conservation,7,10,arcus.q,,-3.403774811472811e+18
