Trial-ID,Status,Iteration,P,alpha,batch_norm,batch_size,data,data_dir,dropout,env,epochs,l,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,leaky_relu,loss_type,lr,max_concurrent,max_dense_layers,net_type,num_layers,patience,q,Objective,loss,val_loss
1,INTERMEDIATE,0,arcus_gpu.p,0.6129342639661327,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.31006615680329536,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',419,496,428,264,97,159,377,323,0.1664882684354071,weak_loss,0.0001663646758609935,3,8,normal,3,10,arcus.q,-474418.67961046257,-36446.67369207041,-474418.67961046257
2,INTERMEDIATE,0,arcus_gpu.p,0.09027320453246357,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.35367844798622505,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',407,368,217,393,275,351,119,412,0.11162882653526957,weak_loss,0.00015800329494968594,3,8,normal,7,10,arcus.q,289.7985668883062,956.5168366155602,289.7985668883062
3,INTERMEDIATE,0,arcus_gpu.p,0.930557930959534,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.43923341652708575,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',83,112,396,219,145,451,154,410,0.19029949384002354,weak_loss,0.009597319289301427,3,8,normal,6,10,arcus.q,-15123590203662.85,-1719802350653.829,-15123590203662.85
1,INTERMEDIATE,1,arcus_gpu.p,0.6129342639661327,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.31006615680329536,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',419,496,428,264,97,159,377,323,0.1664882684354071,weak_loss,0.0001663646758609935,3,8,normal,3,10,arcus.q,-39635243.38935615,-5325000.356491384,-39635243.38935615
2,INTERMEDIATE,1,arcus_gpu.p,0.09027320453246357,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.35367844798622505,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',407,368,217,393,275,351,119,412,0.11162882653526957,weak_loss,0.00015800329494968594,3,8,normal,7,10,arcus.q,244.14573606851022,412.01108128473174,244.14573606851022
3,INTERMEDIATE,1,arcus_gpu.p,0.930557930959534,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.43923341652708575,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',83,112,396,219,145,451,154,410,0.19029949384002354,weak_loss,0.009597319289301427,3,8,normal,6,10,arcus.q,-591206507073963.6,-173653977570460.0,-591206507073963.6
1,INTERMEDIATE,2,arcus_gpu.p,0.6129342639661327,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.31006615680329536,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',419,496,428,264,97,159,377,323,0.1664882684354071,weak_loss,0.0001663646758609935,3,8,normal,3,10,arcus.q,-223440688.60319993,-63883512.02677881,-223440688.60319993
2,INTERMEDIATE,2,arcus_gpu.p,0.09027320453246357,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.35367844798622505,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',407,368,217,393,275,351,119,412,0.11162882653526957,weak_loss,0.00015800329494968594,3,8,normal,7,10,arcus.q,241.94978180267233,339.1184207992967,241.94978180267233
3,INTERMEDIATE,2,arcus_gpu.p,0.930557930959534,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.43923341652708575,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',83,112,396,219,145,451,154,410,0.19029949384002354,weak_loss,0.009597319289301427,3,8,normal,6,10,arcus.q,-4922266650900019.0,-1847149551962129.5,-4922266650900019.0
1,INTERMEDIATE,3,arcus_gpu.p,0.6129342639661327,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.31006615680329536,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',419,496,428,264,97,159,377,323,0.1664882684354071,weak_loss,0.0001663646758609935,3,8,normal,3,10,arcus.q,-1081149631.8177204,-316617793.03712296,-1081149631.8177204
2,INTERMEDIATE,3,arcus_gpu.p,0.09027320453246357,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.35367844798622505,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',407,368,217,393,275,351,119,412,0.11162882653526957,weak_loss,0.00015800329494968594,3,8,normal,7,10,arcus.q,250.77950155117304,311.1122691657132,250.77950155117304
1,INTERMEDIATE,4,arcus_gpu.p,0.6129342639661327,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.31006615680329536,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',419,496,428,264,97,159,377,323,0.1664882684354071,weak_loss,0.0001663646758609935,3,8,normal,3,10,arcus.q,-3283219924.7523203,-1029014557.6210363,-3283219924.7523203
3,INTERMEDIATE,3,arcus_gpu.p,0.930557930959534,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.43923341652708575,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',83,112,396,219,145,451,154,410,0.19029949384002354,weak_loss,0.009597319289301427,3,8,normal,6,10,arcus.q,-1.6040624666607996e+16,-8718778677171782.0,-1.6040624666607996e+16
2,INTERMEDIATE,4,arcus_gpu.p,0.09027320453246357,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.35367844798622505,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',407,368,217,393,275,351,119,412,0.11162882653526957,weak_loss,0.00015800329494968594,3,8,normal,7,10,arcus.q,202.51151561949112,294.58552708740115,202.51151561949112
1,INTERMEDIATE,5,arcus_gpu.p,0.6129342639661327,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.31006615680329536,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',419,496,428,264,97,159,377,323,0.1664882684354071,weak_loss,0.0001663646758609935,3,8,normal,3,10,arcus.q,-4982602421.160092,-2594714604.8074245,-4982602421.160092
3,INTERMEDIATE,4,arcus_gpu.p,0.930557930959534,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.43923341652708575,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',83,112,396,219,145,451,154,410,0.19029949384002354,weak_loss,0.009597319289301427,3,8,normal,6,10,arcus.q,-4.085365443051654e+16,-2.725326443437686e+16,-4.085365443051654e+16
2,INTERMEDIATE,5,arcus_gpu.p,0.09027320453246357,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.35367844798622505,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',407,368,217,393,275,351,119,412,0.11162882653526957,weak_loss,0.00015800329494968594,3,8,normal,7,10,arcus.q,230.50933778811498,282.7878313094078,230.50933778811498
1,INTERMEDIATE,6,arcus_gpu.p,0.6129342639661327,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.31006615680329536,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',419,496,428,264,97,159,377,323,0.1664882684354071,weak_loss,0.0001663646758609935,3,8,normal,3,10,arcus.q,-14013202222.57386,-5542823708.70843,-14013202222.57386
2,INTERMEDIATE,6,arcus_gpu.p,0.09027320453246357,0,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.35367844798622505,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',407,368,217,393,275,351,119,412,0.11162882653526957,weak_loss,0.00015800329494968594,3,8,normal,7,10,arcus.q,210.56251736933746,273.94655036815635,210.56251736933746
3,INTERMEDIATE,5,arcus_gpu.p,0.930557930959534,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.43923341652708575,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',83,112,396,219,145,451,154,410,0.19029949384002354,weak_loss,0.009597319289301427,3,8,normal,6,10,arcus.q,-9.292042723383763e+16,-6.693052993702689e+16,-9.292042723383763e+16
1,INTERMEDIATE,7,arcus_gpu.p,0.6129342639661327,1,2048,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.31006615680329536,/home/jott1/Projects/SHERPA_EX/.profile,25,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',419,496,428,264,97,159,377,323,0.1664882684354071,weak_loss,0.0001663646758609935,3,8,normal,3,10,arcus.q,-24090249460.170147,-10551469238.29853,-24090249460.170147
