Trial-ID,Status,Iteration,P,alpha,batch_norm,batch_size,conservation,data,data_dir,dropout,env,epochs,l,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,leaky_relu,loss_type,lr,max_concurrent,max_dense_layers,num_layers,patience,q,run_type,Objective,loss,val_loss
2,INTERMEDIATE,0,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,204.09177752769187,240.9320911151535,204.09177752769187
2,INTERMEDIATE,1,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,195.35891121538313,217.50376415667566,195.35891121538313
2,INTERMEDIATE,2,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,271.5016027658555,212.88598400718558,271.5016027658555
2,INTERMEDIATE,3,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,194.71646515482263,210.16962614459578,194.71646515482263
1,INTERMEDIATE,0,arcus_gpu.p,0.400267216889989,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.386213879919993,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',203,429,413,463,484,256,202,353,0.3798179023487902,weak_loss,0.00667985961558422,3,8,2,10,arcus.q,hyper_param_opt,-4.1329178277161275e+24,-6.071757915248765e+23,-4.1329178277161275e+24
2,INTERMEDIATE,4,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,191.71096416535713,207.61475325866164,191.71096416535713
2,INTERMEDIATE,5,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,201.0555180198724,206.26986239635013,201.0555180198724
3,INTERMEDIATE,0,arcus_gpu.p,0.45290619607165594,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.16558460456996793,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',242,33,336,464,503,311,469,511,0.40006945671455185,mse,0.0041079902219159385,3,8,4,10,arcus.q,hyper_param_opt,232.12947765543584,286.05298857069346,232.12947765543584
2,INTERMEDIATE,6,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,196.12848785139292,205.22145226199038,196.12848785139292
2,INTERMEDIATE,7,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,202.93386729475333,204.37512108547597,202.93386729475333
2,INTERMEDIATE,8,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,198.995644339737,204.02174833589805,198.995644339737
2,INTERMEDIATE,9,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,208.41458512283717,203.09665329153927,208.41458512283717
2,INTERMEDIATE,10,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,197.79766405532274,202.76811872649728,197.79766405532274
2,INTERMEDIATE,11,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,190.3631202681343,202.06766078763476,190.3631202681343
2,INTERMEDIATE,12,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,189.9529024796807,201.9557980209566,189.9529024796807
2,INTERMEDIATE,13,arcus_gpu.p,0.8528710345567133,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.09741401567074393,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',85,490,444,242,242,389,133,458,0.2767554092592033,mse,0.007715368287858253,3,8,2,10,arcus.q,hyper_param_opt,196.858333647666,201.4565529221264,196.858333647666
1,INTERMEDIATE,1,arcus_gpu.p,0.400267216889989,0,2048,0,fluxbypass_aqua,/baldig/chemistry/earth_system_science/,0.386213879919993,/home/jott1/Projects/SHERPA_EX/.profile,100,hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',203,429,413,463,484,256,202,353,0.3798179023487902,weak_loss,0.00667985961558422,3,8,2,10,arcus.q,hyper_param_opt,-2.626440466436476e+25,-1.5030590886265972e+25,-2.626440466436476e+25
