Trial-ID,Status,Iteration,P,alg,batch_norm,batch_size,data,data_dir,dropout,env,epochs,gpus,l,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,leaky_relu,loss_type,lr,max_concurrent,max_dense_layers,net_type,num_layers,patience,q,sch,Objective,loss,val_loss
6,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.48127466217724574,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',259,447,355,398,259,431,379,330,0.3523739814575663,mse,0.003566550866741381,20,8,normal,2,10,arcus.q,local,0.012884180092386024,0.01658671814417171,0.012884180092386024
3,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.03215286638704945,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',159,70,198,327,145,118,444,177,0.47499797549361156,mse,0.002625500034522459,20,8,normal,2,10,arcus.q,local,0.0037676978354482258,0.0037878035754885845,0.0037676978354482258
15,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.19644482356189213,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',224,116,124,229,63,335,292,249,0.1736314535492196,mse,0.0079086812019781,20,8,normal,3,10,arcus.q,local,0.0032762074566428656,0.0036130415509592665,0.0032762074566428656
4,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.3227657747924656,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',177,218,357,383,297,383,352,240,0.1574441598415537,mse,0.001054360110568623,20,8,normal,3,10,arcus.q,local,0.0031162101466308727,0.003825131976611359,0.0031162101466308727
10,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.41203003185024756,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',241,58,486,228,53,220,222,477,0.32714203607549214,mse,0.009681934536273234,20,8,normal,4,10,arcus.q,local,0.003835313736762429,0.004470619841598742,0.003835313736762429
12,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.18381419493750734,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',58,369,332,427,501,32,178,301,0.4916508165741759,mse,0.00768602777169396,20,8,normal,3,10,arcus.q,local,0.0038254285856131067,0.004684321353298397,0.0038254285856131067
13,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.37822304184186906,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',195,503,301,108,71,263,214,508,0.38882434924503334,mse,0.00896434209893255,20,8,normal,4,10,arcus.q,local,0.043490523867017974,664.4720172138556,0.043490523867017974
2,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.12974787636879886,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',483,435,454,333,282,477,382,511,0.19479258523157122,mse,0.007000033952746916,20,8,normal,3,10,arcus.q,local,1.0567239086404763,62.83994708439714,1.0567239086404763
19,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.0626488421606266,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',367,186,326,99,174,461,169,347,0.37718524031826206,mse,0.006957391985986725,20,8,normal,7,10,arcus.q,local,3331.626243721453,258422.2669985283,3331.626243721453
16,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.09600422197252356,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',134,242,327,72,337,124,340,342,0.3122708051027321,mse,0.0015769094218014217,20,8,normal,7,10,arcus.q,local,0.00313970821499658,0.003424953451090343,0.00313970821499658
8,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.4725103861864085,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',195,199,453,488,103,221,464,431,0.2992682641875675,mse,0.006703233830292654,20,8,normal,6,10,arcus.q,local,0.012191262846971132,37.38959397910125,0.012191262846971132
17,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.35095505941443084,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',476,150,290,237,268,248,453,107,0.08161131652179143,mse,0.000891221293903672,20,8,normal,4,10,arcus.q,local,0.0029648885534143184,0.003726088367361813,0.0029648885534143184
9,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.3744370503549883,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',278,39,503,154,352,68,448,370,0.46190638944076723,mse,0.0017799659048089906,20,8,normal,5,10,arcus.q,local,0.003575815545719361,0.004124376200098202,0.003575815545719361
1,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.41592743431215173,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',155,381,492,369,351,338,419,482,0.130638553128805,mse,0.0025385871054261515,20,8,normal,4,10,arcus.q,local,0.003718893046016477,0.00395891411430515,0.003718893046016477
5,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.25589835788841814,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',32,46,59,429,179,228,132,464,0.3042243395890801,mse,0.003205216536573318,20,8,normal,4,10,arcus.q,local,0.0036247080112300437,0.0041550460600776225,0.0036247080112300437
14,INTERMEDIATE,0,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.21993880249422293,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',211,251,460,159,437,358,458,356,0.25110250916648297,mse,0.003999179098564738,20,8,normal,7,10,arcus.q,local,0.00756748676823684,7.163244944181624,0.00756748676823684
11,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.15025374735726593,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',191,453,125,207,291,274,112,406,0.3319267950444169,mse,0.0007756633523674118,20,8,normal,5,10,arcus.q,local,0.003034975142701415,0.0036699877365751806,0.003034975142701415
7,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.02220430861247691,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',115,157,279,80,265,94,497,98,0.4177231508159561,mse,0.004417547994924668,20,8,normal,7,10,arcus.q,local,0.0028995948353514943,0.003933148871374238,0.0028995948353514943
18,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.30259734651660086,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',223,164,385,398,211,137,193,158,0.12203837948841884,mse,0.009794799052344328,20,8,normal,6,10,arcus.q,local,0.0033493549540095876,0.0037494019363948513,0.0033493549540095876
20,INTERMEDIATE,0,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.382753564812567,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',97,458,215,132,217,60,133,104,0.356977602830714,mse,0.007730233382584718,20,8,normal,6,10,arcus.q,local,0.003497858166021415,0.004033614428338986,0.003497858166021415
13,INTERMEDIATE,1,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.37822304184186906,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',195,503,301,108,71,263,214,508,0.38882434924503334,mse,0.00896434209893255,20,8,normal,4,10,arcus.q,local,1.713440160608254,731.8447625556666,1.713440160608254
4,INTERMEDIATE,1,arcus_gpu.p,random,1,2048,land_data,/baldig/chemistry/earth_system_science/,0.3227657747924656,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',177,218,357,383,297,383,352,240,0.1574441598415537,mse,0.001054360110568623,20,8,normal,3,10,arcus.q,local,0.0031181131645423377,0.0032892871837028677,0.0031181131645423377
3,INTERMEDIATE,1,arcus_gpu.p,random,0,2048,land_data,/baldig/chemistry/earth_system_science/,0.03215286638704945,/home/jott1/Projects/SHERPA_EX/.profile,25,"0,1,2,3",hostname='(arcus-1|arcus-2|arcus-3|arcus-4|arcus-5|arcus-6|arcus-7|arcus-8|arcus-9|arcus-10)',159,70,198,327,145,118,444,177,0.47499797549361156,mse,0.002625500034522459,20,8,normal,2,10,arcus.q,local,0.0035640859624127236,0.003714825640626723,0.0035640859624127236
